time,temp
2020-05-26 13:15:20.974801,28.02
2020-05-26 13:15:21.174848,32.87
2020-05-26 13:15:21.374899,30.77
2020-05-26 13:15:21.574952,35.31
2020-05-26 13:15:21.774999,30.3
2020-05-26 13:15:21.975943,32.74
2020-05-26 13:15:22.176104,31.59
2020-05-26 13:15:22.376152,31.79
2020-05-26 13:15:22.576202,32.49
2020-05-26 13:15:22.776258,35.16
2020-05-26 13:15:22.976302,34.58
2020-05-26 13:15:23.176354,34.27
2020-05-26 13:15:23.376406,28.72
2020-05-26 13:15:23.576455,35.71
2020-05-26 13:15:23.776505,33.77
2020-05-26 13:15:23.976558,30.61
2020-05-26 13:15:24.176606,30.55
2020-05-26 13:15:24.376657,29.37
2020-05-26 13:15:24.576706,29.86
2020-05-26 13:15:24.777652,33.83
2020-05-26 13:15:24.977703,32.79
2020-05-26 13:15:25.177859,31.05
2020-05-26 13:15:25.377910,33.63
2020-05-26 13:15:25.577959,35.75
2020-05-26 13:15:25.779011,33.76
2020-05-26 13:15:25.979061,31.34
2020-05-26 13:15:26.179108,33.59
2020-05-26 13:15:26.379141,30.02
2020-05-26 13:15:26.580214,33.04
2020-05-26 13:15:26.780262,28.59
2020-05-26 13:15:26.980313,29.45
2020-05-26 13:15:27.180365,33.19
2020-05-26 13:15:27.380415,32.07
2020-05-26 13:15:27.580465,28.98
2020-05-26 13:15:27.781516,34.51
2020-05-26 13:15:27.981565,29.64
2020-05-26 13:15:28.181616,35.19
